slug,name,category,comment,url,phone,email,street,postcode,city,country,status,death_reason,operated_by,verified_source_url,verified_at,confidence,notes_curation,lat,lon,fidelity,geo_note
gedebois,Gedebois,wood,"C'est pas loin, la découpe est gratuite mais ils ont un choix limité. Pour l'instant, on a fait appel à eux pour des panneaux bouleau 18mm et des panneaux de coffrage noir (presque) 18mm. Ils sont sympa. La qualité du bois varie, c'est pas mal mais pas top.",https://gedebois.be/,+3226474252,info@gedebois.be,Chaussée de Wavre 610,1040,Etterbeek,BE,active,,,https://gedebois.be/gedebois-contact/,2026-08-25,verified,"Site live, own contact page. Legal name Gede-Bois 610 SRL. Street address added (source had none).",50.832332,4.387519,exact,
vanhumbeeck,VanHumbeeck,wood,Côté Pont VanPraat. Pas encore commandé chez eux. Demande d'info par tel ou par formulaire.,https://www.vanhumbeeckfreres.be/,+3222163132,info@vanhum.be,Avenue de Vilvorde 100,1000,Bruxelles,BE,active,,,https://www.vanhumbeeckfreres.be/,2026-08-25,verified,"Source note 'Côté Pont VanPraet' consistent: Av. de Vilvorde 100 sits by the Van Praet bridge. Email domain is vanhum.be, not the site domain.",50.880182,4.378549,exact,
nordic,Nordic,wood,Un membre y a acheté un triplex 3mm qui fonctionne bien à la découpe laser. Il pensait au bois d'érable mais ils disent ne pas avoir ça de stock. Il faudrait demander des échantillons pour valider quelle essence de bois.,https://watteau.be/,+3222168103,,Chaussée de Vilvorde 13,1020,Laeken,BE,active,,watteau,https://watteau.be/,2026-08-25,verified,"URL CHANGED. houthandelnordic.be serves a 'configuration in progress' placeholder with self-signed cert — dead. Nordic is now a branch of Bois Watteau, same phone as the 2023 source. Postcode conflict in directories (1120 vs 1020); Watteau's own site says 1020. BRANCH OF WATTEAU (mom:operatedBy=watteau) — kept as its own record, distinct address + distinct member comment: same site as watteau's Laeken branch.",50.883515,4.376458,exact,
lochten,Lochten,wood,"Côté Forest, Viangros etc... Grand choix, découpe payante à 30€/15min. Livraison à 60€, 30€ lors d'une commande supérieur à 250€. On y a commandé le sapin 12mm pour le caféEuropa. Ils sont sympa mais faut prendre en compte les frais de découpe et livraison.",https://www.lochten.be/fr,+3222152455,,Boulevard de l'Humanité 51,1190,Forest,BE,active,,,https://www.lochten.be/fr/contact,2026-08-25,verified,"Full name 'Lochten & Germeau'. Source note 'Côté Forest' confirmed — the source phone points to the Forest branch. Second site in Schaerbeek (av. Rogier 118, 1030). Distinct company 'Maison François Lochten Aîné' also exists — do not conflate.",50.820633,4.314266,exact,
schmidt-bois,Schmidt bois,wood,"Conseillé par Delphine V., par exemple pour du bouleau 9mm.",https://schmidtwood.be,+3224264870,info@schmidtwood.be,Rue du Pannenhuys 215,1090,Jette,BE,active,,,https://schmidtwood.be/contact/,2026-08-25,verified,Existing address confirmed current. Official spelling is 'Rue du Pannenhuys 215-219' (source had 'Rue Pannenhuis 215').,50.875495,4.338792,exact,
gesibois,Gesibois,wood,Zone Ch de Mons. J'ai entendu dire qu'ils avaient un grand choix en stock. Je n'ai jamais eu de réponse à ma demande de devis....,,+3223781414,,Bergensesteenweg 341,1600,Sint-Pieters-Leeuw,BE,active,,,https://www.handelsgids.be/sint-pieters-leeuw/gesibois-abc/,2026-08-25,verified,"URL DEAD. gesibois.be 302s to an unconfigured hosting placeholder — left blank rather than linking a placeholder. Gesibois-ABC NV (BE 0402.040.452) is trading, part of the Vanrobaeys/Wopaco group. Source note 'Zone Ch de Mons' consistent (Bergensesteenweg = Chaussée de Mons). NOT in Brussels — Flemish Brabant.",50.789167,4.282177,exact,
laege,Belignum,wood,,http://www.lagae.be/,+3256221429,,Boulevard Industriel 97b,7700,Mouscron,BE,active,,,http://www.lagae.be/nieuwe-handelsnaam-en-adreswijziging-belignum,2026-08-25,verified,"Former name: Lagae (source's 'Laege' was a typo). Renamed Belignum NV; moved from Kortrijk to Mouscron. NAME: source's 'Laege' is a typo for Lagae Hout NV, since RENAMED BELIGNUM NV (same entity, BE 0405.348.449) and MOVED from Kortrijk to Mouscron. SCOPE: 7700 Mouscron is ~90 km from Brussels — arguably does not belong in a Brussels list. Specialty wood department went to Hout Vercruysse.",50.751053,3.261491,exact,
exobois,Exobois,wood,Encore eu aucun contact.,,+3223770003,,Eugène Ghijsstraat 73,1600,Sint-Pieters-Leeuw,BE,active,,watteau,https://fr.kompass.com/c/exobois/be0006854/,2026-08-25,verified,"URL DEAD — exobois.be NXDOMAIN. Exobois SA (BE 0400.919.806) still registered at Eugène Ghijsstraat 73, which is also Bois Watteau's Sint-Pieters-Leeuw branch — operationally the same site. BRANCH OF WATTEAU (mom:operatedBy=watteau) — kept as its own record, distinct address + distinct member comment. Phone corrected 02/377 00 05 → 02/377 00 03 (every current listing). 'Zone Ch de Mons' no longer accurate.",50.800768,4.293384,exact,
steenhoudt,Cras Woodshop Evere,wood,Demande d'info par tel ou par formulaire. **pas encore de mail**,https://evere.craswoodshops.be/,+3227265121,,Chaussée de Louvain 923,1140,Evere,BE,active,,,https://evere.craswoodshops.be/nl/,2026-08-25,verified,"Former name: Steenhoudt. Cras Woodshops took over Steenhoudt's timber trade end of 2020; same address, same phone. TRADING NAME GONE. steenhoudt.com 301s to evere.craswoodshops.be; Cras Woodshops took over Steenhoudt's timber trade end of 2020. Same address, same phone. Customer-facing name is now 'Cras Woodshop Evere' — NAME FIELD NOT CHANGED, operator decision.",50.860421,4.419385,exact,
watteau,Watteau,wood,J'en ai entendu du bien.,https://watteau.be/,+3225280790,,Rue Verheyden 18-28,1070,Anderlecht,BE,active,,,https://watteau.be/,2026-08-25,verified,"SIX branches, not two. Anderlecht taken as main. Others: Molenbeek rue Delaunoy 114 1080 (the source's second branch); Laeken 'Nordic' Ch. de Vilvorde 13 1020; Anderlecht 'Servitech' Ch. de Mons 570 1070; Woluwe-Saint-Lambert Ch. de Louvain 1230 1200; Sint-Pieters-Leeuw Eugène Ghijsstraat 73 1600 (= Exobois site). Per-branch geocoding would need Watteau split into six records.",50.845496,4.315914,exact,
